id,category_ids,title,badge,badge_label,image_url,rating,reviews,price,original_price,affiliate_link,is_recommended,is_new,is_bestseller
1,dogs,רצועה אוטומטית נמתחת 5 מטר,top,מדורג ביותר,https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=600&h=400&fit=crop,4.8,2340,555,59,https://he.aliexpress.com/?dp=CjwKCAjw-J3OBhBuEiwAwqZ_hw0twUHxqatlV691D1nSMbx4DT7du9ZTqJuJt6ptU_0fvqUaNQPEthoCzzYQAvD_BwE&af=1179654&cv=47843&mall_affr=pr3&utm_source=admitad&utm_medium=cpa&utm_campaign=1179654&utm_content=47843&gad_source=1&gad_campaignid=23589187111&gbraid=0AAAAAok9fY0G7gOk8epZ9m05TXDmfJtR7&gclid=CjwKCAjw-J3OBhBuEiwAwqZ_hw0twUHxqatlV691D1nSMbx4DT7du9ZTqJuJt6ptU_0fvqUaNQPEthoCzzYQAvD_BwE&gatewayAdapt=glo2isr,yes,no,yes
4,"beds,cats,dogs",מיטה עגולה רכה לכלבים וחתולים 6 גדלים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S6eb082fa1c6f405c83fd15aa6169258dd.png,4.9,13401,12.17,24.35,https://s.click.aliexpress.com/e/_c34UxdLF,yes,no,yes
8,"tech,dogs",משדר GPS חכם מיני לכלבים וחתולים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/S39e58c578c1c420c916f57ec022b82113.jpg,4.8,4585,4.42,9.4,https://s.click.aliexpress.com/e/_c3Bvzp6v,yes,no,yes
9,"beds,dogs",מזרן קירור לכלבים - גדול במיוחד לקיץ,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/Sbb364568a2244cab914fd242eb77f087o.jpg,4.9,5306,7.06,14.7,https://s.click.aliexpress.com/e/_c397OABB,yes,no,yes
10,"beds,cats,dogs",מיטת שינה עמוקה חמה לחתולים וכלבים קטנים,top,הכי נמכר,https://ae-pic-a1.aliexpress-media.com/kf/Sbb0ee603e97a43359d0f6add124acd09t.jpg,4.9,11143,11.61,23.21,https://s.click.aliexpress.com/e/_c2yfLBhR,yes,no,yes
11,"beds,dogs",מזרון פלנל רך למיטת כלב - כל הגדלים,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S08f8260c7ecd48c299786e34fd1ad15ao.jpg,4.9,4322,5.93,11.85,https://s.click.aliexpress.com/e/_c3maJ75X,yes,yes,no
12,"beds,dogs",בית כלב מחומם לחורף - רחיץ ונשלף,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S28fcf55507e44ea8889c725cc8e5f55dZ.jpg,4.5,2401,15.56,43.24,https://s.click.aliexpress.com/e/_c3IKJvTF,no,yes,no
13,"beds,dogs",מיטת בית לכלבים - לכל עונות השנה,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/S872066483aac4cafbb839e84dcd98480p.jpg,4.5,2544,15.88,32.41,https://s.click.aliexpress.com/e/_c317bHWp,no,no,yes
14,"tech,dogs",משדר GPS בלוטוס מיני - איתור חיות מחמד,drop,ירידת מחיר,https://ae-pic-a1.aliexpress-media.com/kf/Sfccc4a08bd0f42369209d250b469848er.jpg,4.9,1651,3.93,8.55,https://s.click.aliexpress.com/e/_c3Y6omCZ,no,no,no
15,"tech,dogs",כיסוי סיליקון לאיירטאג - קולר GPS לכלבים,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/Sd6c8264674154ab7accf824d2235fba2I.jpg,4.9,4179,3.54,7.08,https://s.click.aliexpress.com/e/_c3PwHa6V,yes,yes,no
16,"tech,dogs",משדר GPS חכם E91 - איתור כלבים ומפתחות,new,חדש,https://ae-pic-a1.aliexpress-media.com/kf/S627eb21e0bc445239db88e5f27c5f57dA.jpg,4.6,1076,9.56,9.56,https://s.click.aliexpress.com/e/_c4s0XwfP,no,yes,no
